onto, P, R, F1, OC, SH, RH, OH
ont_1_movie, 0.16, 0.25, 0.18, 1.00, 0.03, 0.00, 0.02
ont_2_music, 0.18, 0.30, 0.20, 1.00, 0.04, 0.00, 0.02
ont_3_sport, 0.07, 0.19, 0.09, 1.00, 0.01, 0.00, 0.02
ont_4_book, 0.13, 0.24, 0.16, 1.00, 0.02, 0.00, 0.01
ont_5_military, 0.11, 0.25, 0.14, 1.00, 0.02, 0.00, 0.03
ont_6_computer, 0.12, 0.14, 0.12, 1.00, 0.03, 0.00, 0.01
ont_7_space, 0.18, 0.57, 0.26, 1.00, 0.01, 0.00, 0.02
ont_8_politics, 0.10, 0.32, 0.14, 1.00, 0.02, 0.00, 0.04
ont_9_nature, 0.09, 0.32, 0.14, 1.00, 0.01, 0.00, 0.02
ont_10_culture, 0.08, 0.17, 0.10, 1.00, 0.01, 0.00, 0.01
